LagDate,btcChange,ethChange,dogeChange,xrpChange
2022-02-02,n,n,n,n
2022-01-20,n,n,n,n
2022-01-11,p,p,p,p
2022-01-24,p,n,n,n
2022-01-14,p,p,p,p
2022-02-06,p,p,p,p
2022-01-31,p,p,p,p
2022-01-26,n,p,p,p
2022-01-21,n,n,n,n
2022-01-28,p,p,p,p
2022-01-16,n,p,n,n
2022-02-09,p,p,p,n
2022-02-03,p,p,p,p
2022-01-29,p,p,p,p
2022-01-23,p,p,p,p
2022-01-18,p,n,n,n
2022-01-13,n,n,p,n
2022-02-01,p,p,p,p
2022-01-22,n,n,n,n
2022-01-17,n,n,n,n
2022-01-25,p,p,p,p
2022-02-08,p,n,n,p
2022-02-04,p,p,p,p
2022-02-05,n,p,n,p
2022-01-19,n,n,n,n
2022-01-27,p,n,n,n
2022-01-12,p,p,p,p
2022-01-15,p,p,p,p
2022-01-30,n,p,n,n
2022-02-07,p,p,p,p
2022-02-10,n,n,n,n
